input_adm0,clean_adm0
DEMOCRATIC_REPUBLIC_OF_THE_CONGO,DRC
DEMOCRATIC_REPUBLIC_OF_CONGO,DRC
GUYANE,FRENCH_GUIANA
CONGO,REPUBLIC_OF_THE_CONGO
REPUBLIC_OF_CONGO,REPUBLIC_OF_THE_CONGO
SWAZILAND,ESWATINI
VIET_NAM,VIETNAM
SINT_MAARTEN,SAINT_MARTIN
UNITED_STATES,USA
LA_REUNION,REUNION
COTE_DIVOIRE,COTE_D'IVOIRE
ROMAINA,ROMANIA
TRINIDAD,TRINIDAD_AND_TOBAGO
SAINT_VINCENT_AND_THE_GRENADINES,SAINT_VINCENT_AND_GRENADINES
