outer_postcode,region,lat,long
GL13,GL,51.69250161,-2.461348513
B32,B,52.44843164,-1.994531413
EC4N,ECN,51.51286274,-0.091403395
EH39,EH,56.0470396,-2.734299575
EH11,EH,55.93268918,-3.251723234
DL9,DL,54.37540136,-1.707557808
ST19,ST,52.7085794,-2.147397595
BD23,BD,53.99328266,-2.056495412
KA13,KA,55.65566569,-4.700155371
AB99,AB,57.11134,-2.093992
M35,M,53.50721125,-2.154798305
WS1,WS,52.57937472,-1.978675192
NE62,NE,55.16149155,-1.593515825
CM1,CM,51.74669596,0.457324294
TN1,TN,51.13478113,0.266536828
GU46,GU,51.33852833,-0.831993296
N11,N,51.61376457,-0.138994755
BT35,BT,54.16195581,-6.442130865
SE19,SE,51.41798038,-0.086109746
S14,S,53.34601678,-1.444383115
KA17,KA,55.61063215,-4.279157511
PE29,PE,52.33229129,-0.179188471
DL17,DL,54.68047554,-1.541100672
WD7,WD,51.6869882,-0.30994584
PA31,PA,56.05247636,-5.45844045
SA6,SA,51.67616498,-3.922551604
S6,S,53.40284633,-1.513127637
PA26,PA,56.25875663,-4.93706725
TS1,TS,54.57191699,-1.239229109
G43,G,55.81849318,-4.291811377
BN52,BN,50.83440512,-0.168044882
TS7,TS,54.5339964,-1.18326319
GU10,GU,51.1965268,-0.798066126
BB10,BB,53.79957858,-2.21958896
E16,E,51.51067097,0.028975913
PO3,PO,50.81629292,-1.059175516
NR31,NR,52.57491865,1.708832681
PA5,PA,55.83093715,-4.509710136
RM12,RM,51.5529204,0.207162639
DG4,DG,55.37555601,-3.953025136
CT20,CT,51.07983618,1.16343242
PO39,PO,50.68035898,-1.540158138
LL74,LL,53.31917294,-4.229402628
KY11,KY,56.04856886,-3.413978022
BA4,BA,51.17242962,-2.531888673
OX28,OX,51.786961,-1.485992678
LL37,LL,52.66597455,-4.0839799
BT44,BT,54.97220718,-6.287826865
BS34,BS,51.5235688,-2.566642723
PA66,PA,56.32873913,-6.3528985
BD11,BD,53.75226227,-1.675696042
LL18,LL,53.31032435,-3.476194555
BH10,BH,50.75957957,-1.892942391
AB51,AB,57.28767097,-2.403605259
PA75,PA,56.61256,-6.115068897
CT12,CT,51.34338083,1.369443335
BS41,BS,51.42204906,-2.65354573
G81,G,55.91387226,-4.407739136
BS36,BS,51.52574719,-2.486441345
KY16,KY,56.34253402,-2.822230753
SK15,SK,53.48706926,-2.046911749
KT24,KT,51.27017528,-0.429705106
L3,L,53.40840609,-2.984426885
TR3,TR,50.21741045,-5.11234264
MK11,MK,52.05123527,-0.840940023
CA22,CA,54.48063966,-3.532875175
PL15,PL,50.63304038,-4.397271343
IV27,IV,58.27599073,-4.796632508
WV10,WV,52.6191885,-2.113402937
LN9,LN,53.21743098,-0.111862674
ME17,ME,51.23303799,0.61261821
CA18,CA,54.35431016,-3.3911108
EH10,EH,55.91982309,-3.211108209
TN14,TN,51.2978453,0.157487972
EH52,EH,55.93827331,-3.485448797
LL25,LL,53.05424083,-3.878781128
SP7,SP,51.00496334,-2.184095034
DA17,DA,51.48593961,0.149464129
L34,L,53.43552456,-2.815382
SS9,SS,51.5547418,0.651788914
EC2P,ECP,51.52421226,-0.110736913
GU30,GU,51.07540418,-0.804120427
NP22,NP,51.77127468,-3.258241582
SA99,SA,51.66999715,-3.945445585
EX13,EX,50.78711649,-3.007183037
DY10,DY,52.38613211,-2.224055283
SG16,SG,52.01458158,-0.29858804
PR9,PR,53.65965653,-2.968623296
BN1,BN,50.84228021,-0.139507739
GL16,GL,51.79556993,-2.6128152
E13,E,51.52781453,0.026579545
NE36,NE,54.94522759,-1.441221521
UB18,UB,51.500719,-0.402684
HD1,HD,53.64688298,-1.788949667
BA3,BA,51.27166925,-2.478654291
S95,S,53.417985,-1.404500938
CF44,CF,51.71842256,-3.459141176
BS22,BS,51.36105773,-2.929358267
SE27,SE,51.43056204,-0.102368291
CA14,CA,54.63467495,-3.537982028
HU19,HU,53.72335097,0.034374318
S32,S,53.29456311,-1.651034257
G83,G,56.0122808,-4.587058858
CV22,CV,52.35910916,-1.278381182
HS3,HS,57.87738107,-6.85123536
NR1,NR,52.6266497,1.306831556
BT79,BT,54.62320693,-7.200924846
BN15,BN,50.83034754,-0.325703459
TS8,PA,54.52169763,-1.23286556
LA6,LA,54.17523633,-2.610240062
B30,B,52.42199602,-1.927744927
LL16,LL,53.18520747,-3.433361743
TF13,TF,52.57899182,-2.581717782
